"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"190601","93435","1568",2020-11-30,"190601",1,16,9,99,99,2020-07-01,8,8,1,2020-11-30,,2020-11-30,0,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"192145","93437","1568",2020-11-20,"192145",1,7,99,0,99,2020-10-23,4,101,1,2020-11-20,,2021-04-02,0,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"190682","93443","1568",2020-10-02,"190682",1,21,5,0,99,2020-09-01,1,101,1,2020-10-02,,2020-10-05,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"190185","93444","1568",2020-11-12,"190185",1,1,4,99,99,,8,102,1,2020-11-12,,2020-11-19,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"190264","93447","1568",2021-07-09,"190264",1,16,2,99,99,2016-01-01,4,112,1,2021-07-09,,2021-07-09,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-30 00:00:00,2021-08-30 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"190179","93449","1568",2021-02-10,"190179",1,16,9,99,99,2016-01-01,4,112,1,2021-02-10,,2021-02-10,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"190222","93450","1568",2021-07-27,"190222",1,7,5,0,99,,1,101,1,2021-07-27,,2021-07-27,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-30 00:00:00,2021-08-30 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"191546","93452","1568",2020-12-10,"191546",1,35,3,0,99,2020-12-10,3,106,1,2020-12-10,,2020-12-10,0,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"190285","93467","1568",2020-12-28,"190285",1,10,8,0,99,2020-12-08,1,101,8,2020-12-28,,2021-04-13,0,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"191407","93470","1568",2021-07-20,"191407",1,1,2,99,99,2021-01-03,4,112,1,2021-07-20,,2021-07-21,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189500","93533","1568",2021-08-20,"189500",1,16,5,99,99,2018-01-01,4,113,99,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-18 00:00:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189659","93633","1568",2021-04-01,"189659",1,16,8,99,99,2021-04-01,8,8,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-01 00:00:00,2022-03-01 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189574","93650","1568",2021-08-25,"189574",1,16,5,99,99,2001-01-01,4,113,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-21 00:00:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189578","93651","1568",2021-09-16,"189578",1,16,8,99,99,2021-09-16,8,8,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-21 00:00:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189579","93652","1568",2021-03-18,"189579",1,16,8,99,99,2021-03-18,8,8,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-21 00:00:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189653","93654","1568",2021-04-14,"189653",1,16,8,99,99,2021-04-14,8,8,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-01 00:00:00,2022-03-01 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189654","93655","1568",2021-03-15,"189654",1,16,8,99,99,2021-03-15,1,8,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-01 00:00:00,2022-03-01 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189655","93656","1568",2021-01-14,"189655",1,16,8,99,99,2021-01-14,1,8,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-01 00:00:00,2022-03-01 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189656","93658","1568",2021-01-14,"189656",1,16,8,99,99,2021-01-14,1,8,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-01 00:00:00,2022-03-01 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"189657","93660","1568",2021-01-21,"189657",1,16,8,99,99,2021-01-21,1,8,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-01 00:00:00,2022-03-01 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"192170","94011","1568",2021-06-17,"192170",1,99,99,0,99,,,,99,,,2020-06-17,1,,99,,"","","","",99,99,,,,,,1,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
