"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"181454","76783","882",2020-05-01,"181454",1,36,11,1,1,2020-03-01,2,109,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181454_26110","76784","882",2020-07-05,"181454",3,36,11,1,1,2020-03-01,2,110,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181454_26111","76785","882",2020-05-01,"181454",2,28,11,1,1,2020-03-01,2,111,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181455","76786","882",2020-05-01,"181455",1,19,10,1,1,2020-04-15,3,112,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181456","76787","882",2020-05-01,"181456",1,3,10,1,1,2020-03-22,2,113,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181457","76788","882",2020-05-01,"181457",1,31,10,1,1,2020-02-27,3,8,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181458","76789","882",2020-05-01,"181458",1,33,11,1,1,2020-01-29,3,9,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"0F586E2B583A62AB36721CC24F3C7442"
"181451_26108","76790","882",2021-02-21,"181451",4,7,2,1,1,2019-08-14,3,103,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181459","76791","882",2020-05-01,"181459",1,20,4,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181459_26112","76792","882",2021-05-01,"181459",2,21,5,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181460","76793","882",2020-05-01,"181460",1,11,8,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181460_26113","76794","882",2020-05-01,"181460",3,8,9,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181461","76795","882",2020-05-01,"181461",1,15,3,1,1,2018-09-13,4,113,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181460_26114","76796","882",2020-05-01,"181460",2,9,99,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181462","76797","882",2020-05-01,"181462",1,99,10,1,0,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181463","76798","882",2020-05-01,"181463",1,99,11,1,0,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181464","76799","882",2020-05-01,"181464",1,6,5,0,99,,,,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181465","76800","882",2020-05-01,"181465",1,99,2,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181466","76801","882",2020-05-01,"181466",1,25,8,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181467","76802","882",2020-05-01,"181467",1,99,3,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181468","76803","882",2020-05-01,"181468",1,99,4,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181469","76804","882",2020-05-01,"181469",1,99,5,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181470","76805","882",2020-05-01,"181470",1,4,11,1,1,1999-05-07,9,113,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181471","76806","882",2020-05-01,"181471",1,99,8,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181472","76807","882",2020-05-01,"181472",1,99,99,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"0F586E2B583A62AB36721CC24F3C7442"
"181473","76808","882",2020-05-01,"181473",1,99,99,0,99,,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
"181667","76809","882",2020-05-01,"181667",1,16,5,99,99,2019-08-14,4,113,1,2021-02-01,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"0F586E2B583A62AB36721CC24F3C7442"
